Time: 2024-10-07 14:15:28, Fuel: 1000.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:17:32, Fuel: 1000.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:20:35, Fuel: 1000.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:20:54, Fuel: 926.00, Speed: 5.99, Height: 1.00, Crash!
Time: 2024-10-07 14:22:24, Fuel: 925.00, Speed: 6.03, Height: 1.00, Crash!
Time: 2024-10-07 14:24:18, Fuel: 1000.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:25:15, Fuel: 896.00, Speed: 6.14, Height: 1.00, Crash!
Time: 2024-10-07 14:25:31, Fuel: 919.00, Speed: 5.79, Height: 1.00, Crash!
Time: 2024-10-07 14:32:24, Fuel: 1000.00, Speed: 7.18, Height: 2.00, Crash!
Time: 2024-10-07 14:33:05, Fuel: 839.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:34:14, Fuel: 1000.00, Speed: 7.23, Height: 1.00, Crash!
Time: 2024-10-07 14:37:21, Fuel: 1000.00, Speed: 7.22, Height: 2.00, Crash!
Time: 2024-10-07 14:39:34, Fuel: 932.00, Speed: 6.05, Height: 1.00, Crash!
Time: 2024-10-07 14:40:58, Fuel: 932.00, Speed: 5.99, Height: 1.00, Crash!
Time: 2024-10-07 14:41:39, Fuel: 925.00, Speed: 6.03, Height: 1.00, Crash!
Time: 2024-10-07 14:45:09, Fuel: 1000.00, Speed: 7.17, Height: 2.00, Crash!
Time: 2024-10-07 14:46:17, Fuel: 951.00, Speed: 6.22, Height: 1.00, Crash!
Time: 2024-10-07 14:50:29, Fuel: 932.00, Speed: 6.05, Height: 1.00, Crash!
Time: 2024-10-07 14:51:36, Fuel: 931.00, Speed: 6.49, Height: 2.00, Crash!
Time: 2024-10-07 14:53:00, Fuel: 1000.00, Speed: 7.19, Height: 2.00, Crash!
Time: 2024-10-07 14:54:03, Fuel: 1000.00, Speed: 7.19, Height: 2.00, Crash!
